species,eiv_light,eiv_temperature,eiv_moisture,eiv_reaction,eiv_nutrients,eiv_salinity
Carex pulicaris,8,4,9,4,2,0
Carex remota,3,5,8,6,7,0
Carex rhizina,5,6,5,6,5,0
Carex riparia,6,6,9,7,7,1
Carex rostrata,8,4,10,3,3,0
Carex rupestris,9,2,4,6,2,0
Carex secalina,8,7,7,7,6,4
Carex spicata,7,5,5,6,5,0
Carex stenophylla,9,7,2,6,2,1
Carex strigosa,3,6,7,7,7,0
Carex supina,9,7,2,7,2,0
Carex sylvatica,3,5,6,6,6,0
Carex tomentosa,7,6,6,8,4,1
Carex umbrosa,5,5,6,5,4,0
Carex vaginata,8,3,8,4,2,0
Carex vesicaria,7,5,9,6,5,1
Carex vulpina,8,6,8,6,6,1
Carex vulpina agg.,8,6,8,7,6,1
Carlina acaulis,8,5,4,5,3,0
Carlina acaulis ssp. acaulis,8,5,4,5,3,0
Carlina acaulis ssp. caulescens,8,5,4,5,3,0
Carlina biebersteinii,8,5,4,7,3,0
Carlina biebersteinii ssp. biebersteinii,8,6,4,7,3,0
Carlina biebersteinii ssp. brevibracteata,8,6,4,7,3,0
Carlina biebersteinii ssp. sudetica,8,4,4,6,3,0
Carlina vulgaris,8,5,4,7,3,0
Carlina vulgaris agg.,8,5,4,7,3,0
Carpinus betulus,4,6,5,6,5,0
Carum carvi,8,5,5,6,6,1
Castanea sativa,5,8,5,4,4,0
Catabrosa aquatica,8,5,9,7,7,1
Catapodium rigidum,9,7,2,7,3,1
Caucalis platycarpos,7,7,4,8,5,0
Caucalis platycarpos ssp. platycarpos,7,7,4,8,5,0
Centaurea calcitrapa,8,8,4,5,6,0
Centaurea cyanus,7,5,5,4,6,0
Centaurea diffusa,9,7,3,8,3,0
Centaurea erdneri,7,4,5,6,4,0
Centaurea jacea,7,5,5,6,5,1
Centaurea jacea agg.,7,5,5,6,5,1
Centaurea jacea ssp. angustifolia,7,5,4,6,4,1
Centaurea jacea ssp. jacea,7,5,5,6,5,1
Centaurea montana,6,4,5,7,6,0
Centaurea montana ssp. mollis,6,4,5,7,6,0
Centaurea montana ssp. montana,6,4,5,7,6,0
Centaurea nigra,8,4,5,5,4,0
Centaurea nigrescens,8,6,5,6,5,0
Centaurea oxylepis,7,6,5,5,4,0
Centaurea phrygia,7,5,5,6,4,0
Centaurea phrygia agg.,7,5,5,6,4,0
Centaurea pseudophrygia,7,5,5,6,4,0
Centaurea scabiosa,7,6,4,8,4,0
Centaurea scabiosa ssp. scabiosa,7,6,4,8,4,0
Centaurea solstitialis,8,8,3,7,6,0
Centaurea solstitialis ssp. solstitialis,8,8,3,7,6,0
Centaurea stenolepis,6,6,4,8,5,0
Centaurea stenolepis ssp. stenolepis,6,6,4,8,5,0
Centaurea stoebe,8,7,2,6,4,0
Centaurea stoebe ssp. australis,8,7,2,6,4,0
Centaurea stoebe ssp. stoebe,8,7,2,6,4,0
Centaurea triumfetti,7,7,3,8,3,0
Centaurium erythraea,8,6,5,6,5,0
Centaurium erythraea ssp. erythraea,8,6,5,6,5,0
Centaurium littorale,8,6,7,8,3,5
Centaurium littorale ssp. compressum,8,6,7,8,3,5
Centaurium pulchellum,9,6,7,8,4,3
Centranthus ruber,7,8,3,8,5,0
Centunculus minimus,8,6,7,4,3,0
Cephalanthera damasonium,5,6,4,7,4,0
Cephalanthera longifolia,5,5,5,6,5,0
Cephalanthera rubra,4,5,4,8,4,0
Cephalaria gigantea,7,6,4,8,6,0
Cerastium alsinifolium,5,5,5,6,3,0
Cerastium arvense,8,6,4,6,4,0
Cerastium arvense ssp. arvense,8,6,4,6,4,0
Cerastium brachypetalum,9,7,3,7,3,0
Cerastium brachypetalum agg.,9,7,3,7,3,0
Cerastium brachypetalum ssp. brachypetalum,9,7,3,7,3,0
Cerastium dubium,8,6,7,7,6,3
Cerastium fontanum,7,3,5,5,5,0
Cerastium fontanum agg.,7,5,5,6,6,1
Cerastium glomeratum,7,6,5,5,6,0
Cerastium glutinosum,9,7,3,6,4,1
Cerastium holosteoides,7,5,5,6,6,1
Cerastium holosteoides ssp. vulgare,7,5,5,6,6,1
Cerastium lucorum,5,5,6,6,6,0
Cerastium pumilum,9,8,3,8,3,0
Cerastium pumilum agg.,9,7,3,7,4,1
Cerastium semidecandrum,9,7,3,6,3,0
Cerastium semidecandrum ssp. semidecandrum,9,7,3,6,3,0
Cerastium tenoreanum,9,7,3,7,3,0
Cerastium tomentosum,7,6,4,7,5,0
Ceratocephala orthoceras,9,9,2,8,4,1
Ceratophyllum demersum,6,7,12,7,8,1
Ceratophyllum submersum,5,8,12,7,7,2
Cerinthe minor,7,6,4,8,4,0
Cicerbita alpina,5,3,6,6,7,0
Cicuta virosa,6,5,9,6,6,0
Cichorium intybus,8,6,4,7,5,1
Circaea x intermedia,3,5,7,7,6,0
Circaea alpina,4,4,7,5,6,0
Circaea lutetiana,4,5,6,7,7,0
Cirsium acaulon,8,6,3,8,3,0
Cirsium acaulon ssp. acaulon,8,6,3,8,3,0
Cirsium arvense,8,5,5,6,7,1
Cirsium brachycephalum,8,7,7,8,6,5
Cirsium canum,7,6,8,7,6,1
Cirsium eriophorum,8,6,4,8,5,0
Cirsium heterophyllum,7,4,8,5,6,0
Cirsium oleraceum,6,5,8,7,7,0
Cirsium palustre,7,5,8,4,5,0
Cirsium pannonicum,7,7,4,8,4,0
Cirsium rivulare,8,5,8,7,6,0
Cirsium tuberosum,7,6,6,8,3,0
Cirsium vulgare,8,5,5,7,8,1
Citrullus lanatus,9,7,5,7,8,1
Cladium mariscus,9,6,10,9,4,2
Claytonia perfoliata,6,6,5,7,7,0
Cleistogenes serotina,9,8,1,8,2,0
Clematis integrifolia,7,7,7,6,6,1
Clematis recta,6,7,3,8,4,0
Clematis vitalba,7,7,5,7,7,0
Clinopodium vulgare,6,6,4,7,4,0
Clinopodium vulgare ssp. vulgare,6,6,4,7,4,0
Cnidium dubium,7,7,8,6,6,1
Coeloglossum viride,8,4,4,4,2,0
Coleanthus subtilis,9,6,9,5,5,0
Colchicum autumnale,6,5,6,6,5,1
Colutea arborescens,6,8,3,8,5,1
Comarum palustre,8,4,9,3,2,0
Commelina communis,8,7,5,7,7,0
Conioselinum tataricum,7,4,6,8,7,0
Conium maculatum,8,6,6,7,8,1
Conringia orientalis,8,7,3,9,4,0
Consolida ajacis,8,7,4,7,6,0
Consolida hispanica,8,7,4,8,6,0
Consolida regalis,7,7,4,7,6,0
Consolida regalis ssp. regalis,7,7,4,7,6,0
Convallaria majalis,4,5,5,5,4,0
Convallaria majalis var. majalis,4,5,5,5,4,0
Convallaria majalis var. transcaucasica,4,5,5,5,4,0
Convolvulus arvensis,7,6,4,7,6,1
Conyza bonariensis,8,9,4,7,6,1
Conyza canadensis,8,6,4,6,6,1
Corallorhiza trifida,2,4,5,4,3,0
Cornus mas,6,7,4,8,5,0
Cornus sanguinea,6,6,5,7,5,0
Cornus sanguinea ssp. australis,6,6,5,7,5,0
Cornus sanguinea ssp. hungarica,6,6,5,7,5,0
Cornus sanguinea ssp. sanguinea,6,6,5,7,5,0
Cornus sericea,6,5,6,7,5,0
Coronilla vaginalis,8,5,3,9,2,0
Corrigiola littoralis,9,6,6,7,5,0
Cortusa matthioli,5,4,6,7,6,0
Cortusa matthioli ssp. moravica,5,4,6,7,6,0
Corydalis cava,4,6,6,7,7,0
Corydalis cava ssp. cava,4,6,6,7,7,0
Corydalis intermedia,4,5,5,7,7,0
Corydalis pumila,4,6,5,8,7,0
Corydalis solida,4,6,5,7,7,0
Corydalis solida ssp. solida,4,6,5,7,7,0
Corylus avellana,6,5,5,6,6,0
Corynephorus canescens,8,6,2,3,2,0
Cota austriaca,7,7,4,7,6,0
Cota tinctoria,8,6,3,6,4,0
Cota tinctoria ssp. subtinctoria,8,6,3,6,4,0
Cota tinctoria ssp. tinctoria,8,6,3,6,4,0
Cotinus coggygria,6,8,3,7,4,0
Cotoneaster horizontalis,7,6,5,6,6,0
Cotoneaster integerrimus,8,6,3,7,3,0
Cotoneaster laxiflorus,7,6,4,7,3,0
Cotula coronopifolia,9,6,7,7,7,5
Crambe maritima,9,6,6,7,8,4
Crambe tataria,9,8,3,8,3,0
Crataegus levigata,5,6,5,7,5,0
Crataegus levigata agg.,5,6,5,7,5,0
Crataegus monogyna,6,6,4,7,5,0
Crepis biennis,7,5,5,6,6,1
Crepis capillaris,7,6,5,6,4,0
Crepis conyzifolia,8,3,5,3,3,0
Crepis foetida,9,7,4,7,4,0
Crepis foetida ssp. foetida,9,7,4,7,4,0
Crepis foetida ssp. rhoeadifolia,9,7,4,7,4,0
Crepis mollis,7,4,6,5,6,0
Crepis mollis ssp. mollis,7,4,6,5,6,0
Crepis mollis ssp. succisifolia,7,4,6,5,6,0
Crepis nicaeensis,8,6,4,7,6,1
Crepis paludosa,5,5,8,6,6,0
Crepis pannonica,8,7,3,8,4,0
Crepis praemorsa,6,7,4,8,3,0
Crepis setosa,9,7,4,7,6,0
Crepis sibirica,5,4,5,7,6,0
Crepis tectorum,8,6,4,6,5,0
Crepis tectorum ssp. tectorum,8,6,4,6,5,0
Crocus albiflorus,7,3,5,6,4,0
Crocus heuffelianus,7,5,5,6,4,0
Cruciata laevipes,7,5,6,7,7,0
Cruciata pedemontana,8,7,3,7,3,0
Cruciata verna,7,6,5,6,5,0
Crypsis aculeata,9,8,7,7,7,9
Crypsis alopecuroides,9,8,7,7,7,6
Crypsis schoenoides,9,8,7,7,7,9
Cryptogramma crispa,8,3,5,2,2,0
Cucumis sativus,8,6,5,7,8,1
Cucurbita pepo,8,7,5,7,8,1
Cuscuta epithymum,7,6,4,7,3,0
Cuscuta epithymum ssp. epithymum,7,6,4,7,3,0
Cuscuta europaea,6,6,7,7,8,0
Cyclamen purpurascens,4,6,5,7,5,0
Cymbalaria muralis,6,7,4,8,5,0
Cymbalaria muralis ssp. muralis,6,7,4,8,5,0
Cynodon dactylon,8,7,3,6,5,2
Cynoglossum montanum,7,7,3,4,3,0
Cynoglossum officinale,8,6,4,7,6,0
Cynosurus cristatus,8,5,5,6,5,0
Cyperus flavescens,9,6,8,6,5,1
Cyperus fuscus,9,6,9,6,6,1
Cyperus michelianus,9,7,8,7,6,1
Cypripedium calceolus,5,6,5,8,4,0
Cystopteris dickieana,5,2,7,8,2,0
Cystopteris fragilis,5,5,6,6,5,0
Cystopteris sudetica,5,4,5,7,4,0
Cytisus nigricans,6,6,4,6,3,0
Cytisus nigricans ssp. nigricans,6,6,4,6,3,0
Cytisus procumbens,8,8,3,8,3,0
Cytisus scoparius,7,5,4,3,4,0
Cytisus scoparius ssp. scoparius,7,5,4,3,4,0
Dactylis glomerata,7,5,5,6,6,1
Dactylis glomerata agg.,6,5,5,6,6,1
Dactylis glomerata ssp. glomerata,7,5,5,6,6,1
Dactylis glomerata ssp. slovenica,7,5,5,6,6,0
Dactylis polygama,5,6,5,6,5,0
Dactylorhiza bohemica,8,4,8,7,2,0
Dactylorhiza fuchsii,6,4,6,5,3,0
Dactylorhiza fuchsii ssp. fuchsii,6,4,6,5,3,0
Dactylorhiza fuchsii ssp. sooana,6,4,6,5,3,0
Dactylorhiza fuchsii var. fuchsii,6,4,6,5,3,0
Dactylorhiza fuchsii var. psychrophila,6,3,7,5,3,0
Dactylorhiza incarnata,8,5,8,7,3,1
Dactylorhiza incarnata ssp. incarnata,8,5,8,7,3,1
Dactylorhiza incarnata ssp. serotina,8,5,8,7,3,0
Dactylorhiza maculata,7,4,8,5,3,0
Dactylorhiza maculata agg.,6,4,7,5,3,0
Dactylorhiza maculata ssp. maculata,7,4,8,5,3,0
Dactylorhiza maculata ssp. transsilvanica,7,4,8,5,3,0
Dactylorhiza majalis,7,5,8,6,3,1
Dactylorhiza majalis ssp. majalis,7,5,8,6,3,1
Dactylorhiza majalis ssp. turfosa,7,5,8,4,3,0
Dactylorhiza sambucina,6,5,4,5,3,0
Dactylorhiza traunsteineri,7,4,9,4,2,0
Danthonia alpina,8,6,3,7,3,0
Danthonia decumbens,8,5,5,3,2,0
Daphne cneorum,6,6,4,7,2,0
Daphne mezereum,4,5,5,7,6,0
Datura stramonium,8,7,4,7,8,1
Datura stramonium var. stramonium,8,7,4,7,8,1
Datura stramonium var. tatula,8,7,4,7,8,1
Daucus carota,8,5,4,6,5,1
Daucus carota ssp. carota,8,5,4,6,5,1
Daucus carota ssp. sativus,8,5,4,6,5,0
Delphinium elatum,6,3,7,7,7,0
Dentaria bulbifera,3,5,5,6,6,0
Dentaria enneaphyllos,4,4,6,7,7,0
Dentaria glandulosa,4,4,6,6,7,0
Descurainia sophia,8,6,4,7,6,1
Deschampsia cespitosa,6,5,7,5,5,1
Deschampsia cespitosa ssp. cespitosa,6,5,7,5,5,1
Deschampsia cespitosa ssp. parviflora,6,5,7,5,5,1
Dianthus arenarius,9,6,2,4,2,0
Dianthus arenarius ssp. bohemicus,9,6,2,4,2,0
Dianthus armeria,7,6,4,5,3,0
Dianthus barbatus,7,4,5,6,5,0
Dianthus barbatus ssp. barbatus,7,4,5,6,5,0
Dianthus carthusianorum,8,5,3,7,3,0
Dianthus carthusianorum agg.,8,6,3,7,3,0
Dianthus carthusianorum ssp. capillifrons,8,5,3,7,3,0
Dianthus carthusianorum ssp. carthusianorum,8,6,3,7,3,0
Dianthus carthusianorum ssp. latifolius,8,5,4,7,3,0
Dianthus carthusianorum ssp. sudeticus,8,4,4,6,3,0
Dianthus deltoides,8,5,4,4,3,0
Dianthus gratianopolitanus,9,7,2,6,2,0
Dianthus lumnitzeri,9,7,2,9,2,0
Dianthus moravicus,9,7,2,8,2,0
Dianthus pontederae,8,7,2,7,2,0
Dianthus superbus,6,5,7,7,3,0
Dianthus superbus ssp. alpestris,7,4,7,7,3,0
Dianthus superbus ssp. superbus,6,6,7,7,3,0
Dianthus superbus ssp. sylvestris,6,6,7,7,3,0
Dianthus sylvaticus,7,5,5,3,3,0
Dictamnus albus,7,8,3,8,3,0
Digitalis grandiflora,6,5,5,6,5,0
Digitalis purpurea,6,5,5,3,6,0
Digitaria ischaemum,8,6,4,4,5,1
Digitaria sanguinalis,8,7,3,6,5,1
Digitaria sanguinalis var. pectiniformis,8,7,3,6,5,1
Digitaria sanguinalis var. sanguinalis,8,7,3,6,5,1
Diphasiastrum alpinum,8,3,5,2,2,0
Diphasiastrum complanatum,5,4,5,2,2,0
Diphasiastrum complanatum agg.,5,4,5,2,2,0
Diphasiastrum tristachyum,5,4,4,2,2,0
Diplotaxis muralis,8,8,4,8,6,1
Diplotaxis tenuifolia,8,7,3,7,6,1
Dipsacus fullonum,8,6,6,7,7,1
Dipsacus laciniatus,8,7,6,7,6,1
Dipsacus pilosus,6,6,6,7,7,0
Dipsacus sativus,8,6,5,7,7,0
Dipsacus strigosus,7,6,6,7,7,0
Doronicum austriacum,5,3,6,6,7,0
Doronicum pardalianches,4,6,5,7,6,0
Dorycnium germanicum,7,7,2,8,3,0
Dorycnium herbaceum,7,6,3,8,3,0
Dorycnium pentaphyllum agg.,7,6,3,8,3,0
Draba muralis,7,6,4,8,4,0
Draba nemorosa,9,7,4,7,3,0
Dracocephalum austriacum,9,7,2,9,2,0
Drosera anglica,8,4,9,3,2,0
Drosera intermedia,8,5,9,2,2,0
Drosera rotundifolia,8,4,9,1,1,0
Drymocallis rupestris,6,5,4,6,3,0
Dryopteris affinis s. lat.,3,4,6,4,5,0
Dryopteris borreri,3,4,6,4,5,0
Dryopteris cambrensis,3,4,6,4,5,0
Dryopteris carthusiana,5,5,6,4,5,0
Dryopteris carthusiana agg.,4,4,6,4,6,0
Dryopteris cristata,5,5,9,4,4,0
Dryopteris dilatata,4,4,6,4,6,0
Dryopteris expansa,4,4,6,4,5,0
Dryopteris filix-mas,3,5,5,5,6,0
Dryopteris filix-mas agg.,3,5,5,5,6,0
Dryopteris remota,3,4,6,6,5,0
Duchesnea indica,6,6,5,7,6,0
Dysphania botrys,9,8,3,7,6,1
Dysphania pumilio,9,8,3,7,6,1
Ecballium elaterium,8,9,4,8,7,1
Echinocystis lobata,6,8,8,7,8,0
Echinochloa crus-galli,7,7,5,7,8,1
Echinops ritro,9,7,3,8,3,0
Echinops ritro ssp. ruthenicus,9,7,3,8,3,0
Echinops sphaerocephalus,8,7,4,7,7,1
Echinops sphaerocephalus ssp. sphaerocephalus,8,7,4,7,7,1
Echium maculatum,8,8,3,8,3,0
Echium plantagineum,9,9,2,7,6,0
Echium vulgare,9,5,4,6,4,0
Echium vulgare ssp. vulgare,8,6,4,6,4,0
Elaeagnus angustifolia,8,6,5,7,5,1
Elatine alsinastrum,8,7,9,5,6,1
Elatine hexandra,8,6,9,4,4,0
Elatine hydropiper,8,6,9,4,5,1
Elatine hydropiper agg.,8,6,9,4,5,1
Elatine hydropiper s. lat.,8,6,9,4,5,1
Elatine orthosperma,8,6,9,4,4,1
Elatine triandra,8,6,9,5,6,0
Eleocharis acicularis,8,5,10,5,4,0
Eleocharis mamillata,8,5,10,5,5,1
Eleocharis mamillata ssp. austriaca,8,5,10,5,5,1
Eleocharis mamillata ssp. mamillata,8,5,10,5,5,1
Eleocharis ovata,9,6,9,5,6,1
Eleocharis palustris,8,6,10,6,6,1
Eleocharis palustris agg.,8,6,10,6,6,1
Eleocharis palustris ssp. palustris,8,6,10,6,6,1
Eleocharis palustris ssp. waltersii,8,6,10,6,6,1
Eleocharis quinqueflora,8,5,9,7,2,2
Eleocharis uniglumis,8,6,10,7,6,4
Eleocharis uniglumis ssp. sterneri,8,6,10,7,6,5
Eleocharis uniglumis ssp. uniglumis,8,6,10,7,6,4
Elodea canadensis,7,6,12,7,7,1
Elodea nuttallii,7,6,12,7,7,0
Elymus caninus,5,5,6,7,7,0
Elymus hispidus,7,7,3,7,4,0
Elymus hispidus var. hispidus,7,7,3,7,4,0
Elymus hispidus var. villosus,7,7,3,7,4,0
Elymus repens,7,5,5,6,7,1
Elymus repens ssp. repens,7,5,5,6,7,1
Empetrum hermaphroditum,8,3,6,2,2,0
Empetrum nigrum,7,4,6,2,2,0
Empetrum nigrum agg.,7,3,6,2,2,0
Epilobium adenocaulon,7,5,6,5,7,1
Epilobium alpestre,7,3,6,6,7,0
Epilobium alsinifolium,8,2,9,5,4,0
Epilobium anagallidifolium,8,2,7,4,4,0
Epilobium angustifolium,8,4,5,5,6,0
Epilobium collinum,8,5,5,4,5,1
Epilobium dodonaei,9,6,4,7,4,0
Epilobium hirsutum,7,5,8,7,8,1
Epilobium lamyi,7,6,5,5,4,0
Epilobium lanceolatum,8,7,4,3,3,0
Epilobium montanum,5,5,5,6,6,0
Epilobium nutans,9,3,9,4,4,0
Epilobium obscurum,7,5,8,4,5,1
Epilobium palustre,7,4,9,3,3,1
Epilobium parviflorum,7,5,9,8,6,1
Epilobium roseum,7,6,8,7,8,0
Epilobium tetragonum,7,6,6,5,6,1
Epilobium tetragonum agg.,7,6,6,5,5,1
Epipactis albensis,4,6,6,6,6,0
Epipactis atrorubens,6,6,3,8,2,0
Epipactis distans,4,5,4,7,3,0
Epipactis futakii,3,5,5,6,5,0
Epipactis greuteri,2,6,7,7,6,0
Epipactis helleborine,4,5,5,5,5,0
Epipactis helleborine agg.,4,5,5,7,5,0
Epipactis leptochila,3,6,4,7,6,0
Epipactis leutei,3,5,5,7,6,0
Epipactis microphylla,2,6,5,8,6,0
Epipactis moravica,3,5,6,6,6,0
Epipactis muelleri,6,6,4,7,4,0
Epipactis neglecta,3,5,5,7,6,0
Epipactis palustris,7,5,8,8,2,2
Epipactis pontica,3,5,5,7,6,0
Epipactis pseudopurpurata,3,5,5,7,5,0
Epipactis purpurata,2,6,5,8,6,0
Epipactis tallosii,3,5,7,6,6,0
Epipactis voethii,3,5,5,6,5,0
Epipogium aphyllum,2,4,5,6,4,0
Equisetum arvense,6,5,6,5,5,1
Equisetum arvense ssp. arvense,6,5,6,5,5,1
Equisetum fluviatile,8,5,10,4,5,1
Equisetum hyemale,5,5,7,6,6,0
Equisetum palustre,6,5,8,5,4,1
Equisetum pratense,5,4,6,7,5,0
Equisetum ramosissimum,8,7,4,7,3,1
Equisetum sylvaticum,4,4,7,4,4,0
Equisetum telmateia,6,6,8,8,5,0
Equisetum variegatum,8,5,9,8,2,0
Eragrostis albensis,8,6,5,7,6,1
Eragrostis minor,8,7,3,7,6,1
Eragrostis pilosa,9,7,3,7,6,1
Erica carnea,6,4,4,5,2,0
Erica tetralix,8,5,8,1,2,0
Erigeron acris,8,5,4,7,3,1
Erigeron acris agg.,8,5,4,7,3,1
Erigeron annuus,8,5,5,6,6,0
Erigeron annuus agg.,8,5,5,6,6,0
Erigeron annuus ssp. annuus,8,5,5,6,6,0
Erigeron annuus ssp. septentrionalis,8,5,5,6,6,0
Erigeron macrophyllus,8,5,4,5,3,0
Erigeron muralis,8,6,4,7,3,0
Erigeron podolicus,8,7,3,8,3,1
Eriophorum angustifolium,8,4,9,4,2,0
Eriophorum gracile,8,4,9,4,2,0
Eriophorum latifolium,8,5,9,8,2,1
Eriophorum vaginatum,7,3,9,2,1,0
Erodium cicutarium,8,6,4,6,6,0
Erodium moschatum,8,7,4,7,4,0
Erophila spathulata,9,7,3,8,2,0
Erophila verna,8,6,3,5,3,0
Erophila verna agg.,8,6,3,6,3,0
Erucastrum gallicum,8,6,4,8,6,0
Eryngium campestre,9,7,3,7,3,0
Eryngium maritimum,9,6,4,7,4,5
Eryngium planum,7,7,6,7,4,2
Erysimum andrzejowskianum,9,7,3,8,2,0
Erysimum crepidifolium,9,7,2,7,3,0
Erysimum diffusum,9,7,2,6,3,0
Erysimum diffusum agg.,9,7,2,7,3,0
Erysimum durum,9,7,3,6,4,0
Erysimum cheiranthoides,7,5,5,7,7,0
Erysimum cheiranthoides ssp. cheiranthoides,7,5,5,7,7,0
Erysimum cheiri,8,7,5,8,6,0
Erysimum odoratum,7,7,3,8,3,0
Erysimum repandum,8,7,4,8,5,1
Erysimum virgatum,8,7,4,6,4,0
Erysimum virgatum agg.,8,7,4,6,4,0
Erythronium dens-canis,4,7,5,7,4,0
Euonymus europaeus,5,5,5,7,6,0
Euonymus verrucosus,5,6,4,7,6,0
Eupatorium cannabinum,7,5,7,7,7,1
Eupatorium cannabinum ssp. cannabinum,7,5,7,7,7,1
Euphorbia amygdaloides,4,5,5,7,5,0
Euphorbia angulata,6,7,5,6,5,0
Euphorbia cyparissias,8,6,3,6,3,1
Euphorbia dulcis,4,6,5,7,6,0
Euphorbia epithymoides,6,7,3,8,3,0
Euphorbia esula,8,6,4,7,4,1
Euphorbia esula agg.,8,6,4,7,4,1
Euphorbia esula ssp. esula,8,6,4,7,4,1
Euphorbia esula ssp. riparia,8,6,4,7,4,1
Euphorbia exigua,7,6,4,8,5,0
Euphorbia falcata,7,7,4,8,5,0
Euphorbia helioscopia,7,6,5,7,7,0
Euphorbia humifusa,9,8,4,7,5,1
Euphorbia chamaesyce,9,8,2,8,5,1
Euphorbia illirica,7,7,6,7,5,0
Euphorbia lucida,7,6,8,7,7,0
Euphorbia maculata,9,8,3,7,6,1
Euphorbia palustris,7,6,8,7,7,0
Euphorbia peplus,7,6,4,7,8,0
Euphorbia platyphyllos,7,7,5,7,6,1
Euphorbia platyphyllos ssp. platyphyllos,7,7,5,7,6,1
Euphorbia salicifolia,7,7,4,8,3,0
Euphorbia seguieriana,9,7,2,8,2,0
Euphorbia seguieriana ssp. minor,9,7,2,8,2,0
Euphorbia seguieriana ssp. seguieriana,9,7,2,7,2,0
Euphorbia stricta,6,5,6,6,6,0
Euphorbia virgata,8,7,4,8,3,1
Euphrasia frigida,7,3,5,3,2,0
Euphrasia micrantha,7,5,5,2,1,0
Euphrasia nemorosa,8,5,5,4,3,0
Euphrasia nemorosa agg.,7,5,5,3,2,0
Euphrasia officinalis,8,5,5,4,4,0
Euphrasia officinalis ssp. picta,8,3,5,4,4,0
Euphrasia officinalis ssp. rostkoviana,8,5,5,4,4,0
Euphrasia salisburgensis,7,3,5,8,4,0
Euphrasia stricta,8,6,4,5,2,0
Euphrasia stricta agg.,8,6,4,5,2,0
Euphrasia stricta ssp. stricta,8,6,4,5,2,0
Euphrasia stricta ssp. tatarica,8,6,4,6,2,0
Fagopyrum esculentum,7,5,5,7,6,0
Fagus sylvatica,3,5,5,6,5,0
Falcaria vulgaris,7,7,3,8,5,0
Fallopia aubertii,7,6,5,7,7,0
Fallopia convolvulus,7,6,5,6,6,0
Fallopia dumetorum,6,6,5,7,7,0
Festuca altissima,3,5,5,6,6,0
Festuca amethystina,6,6,4,7,3,0
Festuca arundinacea,7,6,7,7,6,3
Festuca arundinacea ssp. arundinacea,7,6,7,7,6,3
Festuca arundinacea ssp. uechtritziana,7,6,7,7,6,3
Festuca brevipila,8,6,3,4,2,0
Festuca csikhegyensis,8,7,1,6,1,0
Festuca drymeja,3,5,5,5,6,0
Festuca filiformis,7,5,4,3,2,0
Festuca gigantea,4,5,7,6,7,0
Festuca heterophylla,4,6,4,5,4,0
Festuca ovina,7,5,4,3,2,0
Festuca ovina agg.,8,5,3,5,2,0
Festuca ovina s. lat.,7,5,4,3,2,0
Festuca ovina ssp. guestfalica,6,5,4,3,2,0
Festuca ovina ssp. ovina,6,5,4,3,2,0
Festuca pallens,8,7,2,6,1,0
Festuca pallens s. lat.,8,7,2,6,1,0
Festuca pratensis,7,5,5,6,6,1
Festuca pratensis agg.,7,5,6,6,6,1
Festuca psammophila,8,7,2,4,2,0
Festuca psammophila ssp. dominii,8,8,2,4,2,0
Festuca psammophila ssp. psammophila,8,7,2,4,2,0
Festuca pseudodalmatica,9,7,2,7,2,0
Festuca pulchra,9,7,3,8,3,2
Festuca rubra,7,5,5,5,5,1
Festuca rubra ssp. rubra,7,5,5,5,5,1
Festuca rupicola,8,6,3,8,3,0
Festuca supina,9,2,5,2,2,0
Festuca valesiaca,8,7,2,7,2,0
Festuca valesiaca s. lat.,8,7,2,7,2,0
Festuca versicolor,9,3,5,7,2,0
Festuca versicolor ssp. versicolor,9,3,5,7,2,0
Ficaria calthifolia,6,6,4,7,5,0
Ficaria verna,4,5,6,7,7,0
Ficaria verna ssp. verna,4,5,6,7,7,0
Filago arvensis,8,7,3,4,3,0
Filago lutescens,9,7,3,4,2,0
Filago minima,9,6,2,4,2,0
Filago vulgaris,9,7,3,4,3,0
Filago vulgaris agg.,9,7,3,4,3,0
Filipendula ulmaria,6,5,8,6,5,1
Filipendula ulmaria ssp. picbaueri,7,6,7,6,5,1
Filipendula ulmaria ssp. ulmaria,6,5,8,6,5,1
Filipendula vulgaris,7,6,4,8,3,0
Foeniculum vulgare,7,8,4,8,7,1
Fourraea alpina,5,6,4,8,4,0
Fragaria moschata,6,6,5,6,6,0
Fragaria vesca,6,5,5,6,5,0
Fragaria viridis,7,5,3,7,4,1
Fragaria viridis ssp. viridis,7,5,3,7,4,1
Frangula alnus,6,6,7,4,4,0
Fraxinus angustifolia,5,7,7,7,7,0
Fraxinus angustifolia ssp. danubialis,5,7,7,7,7,0
Fraxinus excelsior,4,5,6,7,7,0
Fraxinus ornus,4,8,3,8,3,0
Fritillaria meleagris,8,7,8,7,5,0
Fumana procumbens,9,8,1,9,2,0
Fumaria capreolata,6,7,5,4,7,0
Fumaria officinalis,7,6,5,6,7,0
Fumaria officinalis ssp. officinalis,7,6,5,6,7,0
Fumaria officinalis ssp. wirtgenii,7,6,5,6,7,0
Fumaria rostellata,7,7,4,7,6,0
Fumaria schleicheri,7,7,4,8,6,0
Fumaria vaillantii,7,7,4,8,6,0
Fumaria vaillantii ssp. schrammii,7,7,4,8,6,0
Fumaria vaillantii ssp. vaillantii,7,7,4,8,6,0
Gagea bohemica,9,8,2,4,2,0
Gagea bohemica ssp. bohemica,9,8,2,4,2,0
Gagea bohemica ssp. saxatilis,9,8,2,4,2,0
